Month Name,Meter Name,Amount,Monetary Cost,Environmental Cost
7/1/2009,EL1,58233,3661.37,
8/1/2009,EL1,282323,17949.02,
9/1/2009,EL1,405601,23876.63,
10/1/2009,EL1,387746,21179.26,
11/1/2009,EL1,769449,38578.81,
12/1/2009,EL1,109448,7305.06,
1/1/2010,EL1,79997,4709.21,
2/1/2010,EL1,295623,23907.27,
3/1/2010,EL1,345094,19442.98,
4/1/2010,EL1,433231,23955.68,
5/1/2010,EL1,970260,62157.9,
6/1/2010,EL1,199158,16536.32,
7/1/2010,EL1,380602,54270.43,
8/1/2010,EL1,528283,58136.17,
9/1/2010,EL1,544528,49559.85,
10/1/2010,EL1,794620,42214.71,
11/1/2010,EL1,299902,16811.03,
12/1/2010,EL1,95141,9588.39,
1/1/2011,EL1,358548,30724.91,
2/1/2011,EL1,214225,12900.8,
3/1/2011,EL1,82480,5278.65,
4/1/2011,EL1,384913,27104.15,
5/1/2011,EL1,1116345,69905.52,
6/1/2011,EL1,157495,19703.75,
7/1/2011,EL1,417574,45482.16,
8/1/2011,EL1,268993,20523.07,
9/1/2011,EL1,944186,57897.23,
10/1/2011,EL1,368945,19840.84,
11/1/2011,EL1,537407,28729.68,
12/1/2011,EL1,62353,2953.12,
1/1/2012,EL1,551000,29049.99,
2/1/2012,EL1,68599,2659.04,
3/1/2012,EL1,118915,5566.9,
4/1/2012,EL1,167247,5932.46,
5/1/2012,EL1,1584146,75376.04,
6/1/2012,EL1,333170,16933.41,
7/1/2012,EL1,492453,41444.41,
8/1/2012,EL1,386953,22562.73,
9/1/2012,EL1,637070,36741.18,
10/1/2012,EL1,460405,22247.61,
11/1/2012,EL1,410422,23089.23,
12/1/2012,EL1,951884,46780.59,
1/1/2013,EL1,148969,6784.28,
2/1/2013,EL1,189692,27694.48,
3/1/2013,EL1,53767,2799.45,
4/1/2013,EL1,222888,11848.07,
5/1/2013,EL1,1108181,59754.39,
6/1/2013,EL1,1081470,67621.03,
7/1/2013,EL1,478902,43550.59,
8/1/2013,EL1,326932,18939.58,
9/1/2013,EL1,591944,37526.55,
10/1/2013,EL1,371475,18783.54,
11/1/2013,EL1,218128,10436.04,
12/1/2013,EL1,168915,9638.21,
1/1/2014,EL1,463828,143905.38,
2/1/2014,EL1,491231,59294.71,
3/1/2014,EL1,60755,5146.69,
4/1/2014,EL1,1568672,88245.94,
5/1/2014,EL1,1320681,67315.91,
6/1/2014,EL1,1679543,82618.92,
7/1/2014,EL1,470744,27595,
8/1/2014,EL1,256023,13593,
9/1/2014,EL1,663311,38508,
10/1/2014,EL1,2218037,107684,
11/1/2014,EL1,397659,19824,
12/1/2014,EL1,108134,6289,
1/1/2015,EL1,66896,4302,
2/1/2015,EL1,432091,60478,
3/1/2015,EL1,240500,19486,
4/1/2015,EL1,399363,18878,
5/1/2015,EL1,1000086,44566,
6/1/2015,EL1,872315,27494,
7/1/2015,EL1,597586,,
9/1/2015,EL1,925821,129202.42,
10/1/2015,EL1,3208249,,
5/1/2016,EL1,787823,90289.98,
6/1/2016,EL1,2851832,,
9/1/2016,EL1,1009260,119040.23,
10/1/2016,EL1,1447797,186143.75,
11/1/2016,EL1,344638,59598.24,
