Month Name,Meter Name,Amount,Monetary Cost,Environmental Cost,Total Cost
7/1/2009,EL1,58233,3661.37,11646.6,15307.97
8/1/2009,EL1,282323,17949.02,56464.6,74413.62
9/1/2009,EL1,405601,23876.63,81120.2,104996.83
10/1/2009,EL1,387746,21179.26,85304.12,106483.38
11/1/2009,EL1,769449,38578.81,169278.78,207857.59
12/1/2009,EL1,109448,7305.06,24078.56,31383.62
1/1/2010,EL1,79997,4709.21,17599.34,22308.55
2/1/2010,EL1,295623,23907.27,65037.06,88944.33
3/1/2010,EL1,345094,19442.98,75920.68,95363.66
4/1/2010,EL1,433231,23955.68,95310.82,119266.5
5/1/2010,EL1,970260,62157.9,213457.2,275615.1
6/1/2010,EL1,199158,16536.32,43814.76,60351.08
7/1/2010,EL1,380602,54270.43,83732.44,138002.87
8/1/2010,EL1,528283,58136.17,116222.26,174358.43
9/1/2010,EL1,544528,49559.85,119796.16,169356.01
10/1/2010,EL1,794620,42214.71,174816.4,217031.11
11/1/2010,EL1,299902,16811.03,65978.44,82789.47
12/1/2010,EL1,95141,9588.39,20931.02,30519.41
1/1/2011,EL1,358548,30724.91,68124.12,98849.03
2/1/2011,EL1,214225,12900.8,40702.75,53603.55
3/1/2011,EL1,82480,5278.65,15671.2,20949.85
4/1/2011,EL1,384913,27104.15,73133.47,100237.62
5/1/2011,EL1,1116345,69905.52,212105.55,282011.07
6/1/2011,EL1,157495,19703.75,29924.05,49627.8
7/1/2011,EL1,417574,45482.16,79339.06,124821.22
8/1/2011,EL1,268993,20523.07,51108.67,71631.74
9/1/2011,EL1,944186,57897.23,179395.34,237292.57
10/1/2011,EL1,368945,19840.84,70099.55,89940.39
11/1/2011,EL1,537407,28729.68,102107.33,130837.01
12/1/2011,EL1,62353,2953.12,11847.07,14800.19
1/1/2012,EL1,551000,29049.99,104690,133739.99
2/1/2012,EL1,68599,2659.04,13033.81,15692.85
3/1/2012,EL1,118915,5566.9,22593.85,28160.75
4/1/2012,EL1,167247,5932.46,31776.93,37709.39
5/1/2012,EL1,1584146,75376.04,300987.74,376363.78
6/1/2012,EL1,333170,16933.41,63302.3,80235.71
7/1/2012,EL1,492453,41444.41,93566.07,135010.48
8/1/2012,EL1,386953,22562.73,73521.07,96083.8
9/1/2012,EL1,637070,36741.18,121043.3,157784.48
10/1/2012,EL1,460405,22247.61,87476.95,109724.56
11/1/2012,EL1,410422,23089.23,77980.18,101069.41
12/1/2012,EL1,951884,46780.59,180857.96,227638.55
1/1/2013,EL1,148969,6784.28,28304.11,35088.39
2/1/2013,EL1,189692,27694.48,36041.48,63735.96
3/1/2013,EL1,53767,2799.45,10215.73,13015.18
4/1/2013,EL1,222888,11848.07,42348.72,54196.79
5/1/2013,EL1,1108181,59754.39,210554.39,270308.78
6/1/2013,EL1,1081470,67621.03,205479.3,273100.33
7/1/2013,EL1,478902,43550.59,90991.38,134541.97
8/1/2013,EL1,326932,18939.58,62117.08,81056.66
9/1/2013,EL1,591944,37526.55,112469.36,149995.91
10/1/2013,EL1,371475,18783.54,70580.25,89363.79
